time,commit,dataset,experiment,variant,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-06T15:25:49,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,456,32,0.7032967032967034,0.7026647966339411,0.7828125,0.7405764966740577,0.39958847294551,0.7756100368324126,0.7514705882352941
2026-09-06T15:26:27,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,789,32,0.6880811496196112,0.6775884665792923,0.8078125,0.736992159657876,0.36944905424997093,0.7605202578268877,0.7592463363572924
2026-09-06T15:26:55,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,2024,32,0.6982248520710059,0.6821106821106822,0.828125,0.748059280169372,0.39175092568762154,0.779520603130755,0.7561567811307666
2026-09-06T15:27:25,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,7,32,0.6965342349957735,0.6875834445927904,0.8046875,0.7415406767458603,0.38644111214894716,0.7660220994475139,0.7582804792107117
2026-09-06T15:27:56,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,13,32,0.6931530008453085,0.6869095816464238,0.7953125,0.7371469949312093,0.3791265269176291,0.7745597375690608,0.751493848857645
2026-09-06T15:28:17,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,99,32,0.7066779374471682,0.7048951048951049,0.7875,0.7439114391143912,0.406534717340442,0.7713685543278086,0.7559912854030502
2026-09-06T15:28:44,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,2025,32,0.7066779374471682,0.7060478199718706,0.784375,0.7431532198371577,0.4065136275528923,0.7693168738489871,0.7560975609756098
2026-09-06T15:29:05,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,314,32,0.6855452240067624,0.6704834605597965,0.8234375,0.7391304347826086,0.3656231330373013,0.7700851749539596,0.7557698932139166
2026-09-06T15:29:27,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,1618,32,0.7092138630600169,0.7120343839541547,0.7765625,0.7428998505231689,0.41175753164229045,0.7728332182320442,0.7523879500367376
2026-09-06T15:30:04,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,271,32,0.7007607776838546,0.6997206703910615,0.7828125,0.7389380530973452,0.3943967628460777,0.7669400322283608,0.7558432218626393
2026-09-06T15:30:35,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,577,32,0.6956889264581573,0.6971830985915493,0.7734375,0.7333333333333333,0.38400292558222193,0.7642178867403315,0.7556693489392831
2026-09-06T15:30:58,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,999,32,0.7176669484361792,0.7023809523809523,0.8296875,0.7607449856733525,0.4309242174145401,0.7896926795580111,0.7622080679405521
2026-09-06T15:31:20,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,8128,32,0.7075232459847844,0.7112068965517241,0.7734375,0.7410179640718563,0.4083368796070528,0.7817996086556169,0.7546754675467546
2026-09-06T15:35:37,nogit,TwiBot-20,diagnose_order,bag,bag,keep,42,32,0.6745562130177515,0.6753782668500687,0.7671875,0.7183613752743233,0.34049979762423993,0.7287954650092081,0.728992360858494
2026-09-06T15:35:43,nogit,TwiBot-20,diagnose_order,bag,bag,keep,123,32,0.6584953508030431,0.649746192893401,0.8,0.7170868347338936,0.30823616517146973,0.7257280156537753,0.7320169252468265
2026-09-06T15:35:51,nogit,TwiBot-20,diagnose_order,bag,bag,keep,456,32,0.6745562130177515,0.6632522407170295,0.809375,0.729064039408867,0.34195831606315175,0.7327578268876611,0.7378846834099753
